key,source,Translation
C3F51C364BA4EB24648FB2B32EDA3A04, Coins,
70B901A34062360AEBF53086AC1002DB," I bought all this survival gear with that gold you gave me, and got into this rootin'-tootin' bunker! Where you been? ",
F378D6644DEB001A85A1A19F76EBEFF5, I only like orange food though.,
1299C9DC495D01E453F5FCA64ED289B7," Sorry, gate's locked. Under construction. Someone had to install a gold brick up there.",
014D71CA46BC201A0CDDCB923CEB94E0," Take this ability, it might help you unlock their secrets...",
3FD346DF4E141DBABAF88CA82E0CAD70," We're looking into it, sir. Mark my words!",
2EFE248440B11C13F8C84BAFD67AE42C, What a genius you are!,
AE398D104288BB41AF05F3AAD6B554D6," You really stuck it to him - he'll be livid! Ha ha.",
029372FD40F1313091319586E07BE72E, left. Destroy all wooden graves around here!,
5F7CF0FB458A2C34675E15B88BCCBE89, left. In this direction there is another shell.,
5C1529CD435A637BC3B2289C966D3F8A, meters,
E7FF39C846AC00E1695384941665335D, meters,
46B6A05D411DE3DF39BD75894B478634,!,
BEAFE1504753E38F130873A8A317D2D6,!,
26EC95EB4CEB622D66E775898412ABBD,!?,
6ED0418245CC7EF8AEBEB1AA9CC4918E,"""A flat sandbox""? ""A world without curves""? Unglobular hoodoo, I say!",
DA313573492C553F6C1C4D9F2FCF4A52,**,
591FDFC04C11E13853A67A97C8CB83CE,+1 damage? Is this a joke? Worst upgrade ever!,
50904565471FA0BA7CDBFE94EA520510,- BP_AuraDecal,
48FFF54046B1CEB771970098DC72C55A,- BP_Bounce,
C3E586B8440F7B58531550AFB24DB572,"- BP_CanBeElectrocuted ( TAG : Electricity"")",
E5D645D249F5494D4022C798A2AEF725,"- BP_CanBeElectrocuted ( TAG : Electricity"")",
12D459B04C45BB616D72C986B1CBE1E1,- BP_Decal,
2FD88B2543F272FE095D41A631D6DA09,- BP_Decal,
520BF0994676A402E5A752B20BBDD24D,- BP_Decal,
5949FC354BBD7E159C27A9A05AE73AB2,- BP_Decal,
6554296449C1367D4823888099FB673A,- BP_Decal,
E6CF2750410ACA10C464838B23546BBB,- BP_Decal,
D09A067B424CFBED3DDF6D8FD1F4B305,- BP_ElectricArcs,
96A78A9F4C0204DA140B1F8D591D93CB,- BP_ElectricDischarge,
C640BEF64C52CFAAFAE156A5AA6BC487,- BP_Electric_Tornado,
E50404BA41EC9A1795ECBC98AD487019,- BP_ElectricityBetween2Points,
0BA39850450CB63FEB4D49BA316741A6,- BP_FastDecal,
254A29BE4FB74BEDCA7FE6ABB6C11C5E,- BP_FastDecal,
0EDCFAF3416C586D99A70E8B58AA4E3B,- BP_Laser,
3A4B36504BC1FB4D4AD81080BA0F6C30,- BP_Laser,
A258D9CB4FB83B285205B89808096604,- BP_Laser,
3961DE344F8EB3C38F24B98212072058,- BP_PermanentArc_Example1,
B52ACAB44D16C022CF10E082CADF5649,- BP_PermanentArc_Example2,
257A3D14430EA01C0BD2038B677DCB1C,- BP_Projectile,
D1807D794575395E3EC7E78D64AB722A,- BP_Projectile,
2594B22D41C408AD6AFF2AAEA516B1D5,- BP_SelectDecal,
BFA6AFA24D7085E5EEF50F9A604190A9,- BP_SelectDecal,
06EADD704024F527E2DAE0B9D5CDD144,- BP_Shield_Animated,
D2DE7201459ADAD5FC7C8A8B69C1D775,- BP_Shield_Animated2,
5F05E11B4771420172B649926FB0F2B4,- BP_Shield_Permanent,
4E5CC90D436A44A6C8B4C6A597DE0D0A,- BP_SkeletalMesh,
6AFD31434081E69E206F208CC5F11EF5,- BP_SkeletalMesh_LightningFlat,
435D5D4544F09051322615B62A085061,- BP_SkeletalMesh_LightningTrail,
4AB793434F8CF80CA01913B9972F94BA,- BP_SkeletalMesh_MatFunctionExample,
A00F3E3C4310183EE67B3EABC639AE13,- BP_SkeletalMesh_MatFunctionExample,
617387F34ED3891017D287B7ED3AD909,- BP_SkeletalMesh_ShieldExample1,
76A5E4E8480876B1ADC7D0A798828120,- BP_SkeletalMesh_ShieldExample2,
D7ABB48C44D638D87E1F9585646924E9,- BP_SkeletalMesh_V1_25,
7F2C2C364C33F90910480C94027B9BFD,- BP_SpawnProjectile,
2C1072754AC30E200A4D55AC74CE1C7A,- BP_Spawn_AuraDecal_Example,
4BCFD88246FD3A483F146284755A0CEA,- BP_StaticMesh,
121E2A104E3D15C4FC5DE68A40B030A8,- BP_StaticMesh_V1_25,
44010E9840E6E8C7BBDF6483D12A90E7,- BP_Storm,
238E1F9B4FC9D6725CD9E290A7F0398D,- BP_StormLight,
261111C04BEE926EC7EAF1AA0A7BE9C1,- BP_StormLight,
397CF13E44DDE6058702E987F47E8746,- BP_StormLight,
C7CE755347956C2879685DA49F9001AB,- BP_StormLight,
54014D9C400DFCB86C4D06B152161258,- BP_StormTornado_V1_3,
0F31441949C4B6CCC586B69D08ACE17C,- BP_Storm_V1_25,
82CF15E94AEA459AB6AA8892BA75C5B4,- BP_SwordExample,
7923EDEB4CBEB236437A299384F9182D,- BP_Sword_MatFuntionExample,
958064864042E78F3DA45986848B2386,- BP_Sword_MatFuntionExample,
60FFC68F417C13E4F1C1EF9530FB1EDB,- BP_VR_AuraDecal,
B185E3D8414093C155CB24BBE19934A4,- BP_VR_Bounce,
9522F5204047BCE12E4A7D8D283B2821,- BP_VR_ElectricArcs,
CFE9847346FF8150BB65518A56433047,- BP_VR_ElectricDischarge,
EC59E0A341E5F9B6D4A35DAE4219A21E,- BP_VR_Electric_Tornado,
2BC22374442A25FF7F1212B7C51DAA08,- BP_VR_ElectricityBetween2Points,
B2FD295242D1A4C8C8A21388AE469001,- BP_VR_Laser,
E9134A0648CA596C34965EAFCB9CF477,- BP_VR_PermanentArc_Example1,
002DD28C446F6E96A9BBC29A42F717FC,- BP_VR_PermanentArc_Example2,
971285994FD223AD4E9B86A26AD68B9C,- BP_VR_Projectile,
E534587D430ADBE8A9B708A2BE66CAA9,- BP_VR_Projectile,
1233BDCB4811F444553B87B11252984C,- BP_VR_Shield_Animated,
D5C4E4144222FAE0B582B58A9DB94FB6,- BP_VR_Shield_Animated2,
4C2F0BF64FC2780CF7FF61BC8DB04291,- BP_VR_Shield_Permanent,
F43BEEB54ECB18D3F3FD1D9095617863,- BP_VR_SkeletalMesh,
1B0F2D5E4B9E31811A5958A95452DAEA,- BP_VR_SkeletalMesh_LightningFlat,
D02E2CDF44141D75E1400282735BAC68,- BP_VR_SkeletalMesh_LightningTrail,
7ECF00F4455139330CD98BBAC09F0BB2,- BP_VR_SkeletalMesh_ShieldExample1,
86C06408403BBEA31D2ADD91466C88A4,- BP_VR_SkeletalMesh_ShieldExample2,
4D7EA4CE475DFC40F6FE139796159196,- BP_VR_SkeletalMesh_V1_25,
F79BD73C4C9A215B01129C8A36815DC6,- BP_VR_SpawnProjectile,
CBC8FFF34FE36B36EBD59D8057206609,- BP_VR_Spawn_AuraDecal_Example,
07C4544F482A14B47B7FCF81FDA08FE6,- BP_VR_StaticMesh,
123B5A2F4AC1C37F4BE95C84CC34E566,- BP_VR_StaticMesh_V1_25,
CFE7FC9D498BC4C9959CA0B449AE30A7,- BP_VR_Storm,
6C0BEFB14E617676F6B192AB98E10116,- BP_VR_StormTornado_V1_3,
81BB9447457BA2E2A374DA8708ADE1F3,- BP_VR_Storm_V1_25,
74DA83764A92FA95FB16528388462645,- BP_VR_SwordExample,
BFC641424842765AB6FBB4B8D68670FB,- Fallen hero souvenirs are stored in your home.,
0ACCC503418B0DFB807F09B9D7F23F41,- MF_Electricity,
3F3208744B79AC757BC1C4886E7B1CF5,- MF_Electricity,
BA2835664D8C65D9B55449973D96B49E,- M_Sword_MatFunction,
FBC6675943CFBFA1BA8CD8868B412944,- M_Sword_MatFunction,
1DE45D874CC51F70FBD85BB28ECA96DA,- M_UE4Main_Body_MatFunction,
B43BEE8B41D8AEC2C3F21DB41C796D1B,- M_UE4Main_Body_MatFunction,
